date,Kabupaten,Rainfall_mm
2015-01-30,Bandung,20.81175756
2015-01-31,Bandung,39.22508526
2015-02-01,Bandung,26.8984108
2015-02-02,Bandung,1.101520211
2015-02-03,Bandung,2.412957966
2015-02-04,Bandung,10.22340989
2015-02-05,Bandung,30.81203556
2015-02-06,Bandung,32.33068085
2015-02-07,Bandung,31.62494946
2015-02-08,Bandung,15.43355513
2015-02-09,Bandung,10.0818572
2015-02-10,Bandung,0.8695361316
2015-02-11,Bandung,21.89951992
2015-02-12,Bandung,38.83810043
2015-02-13,Bandung,12.05994844
2015-02-14,Bandung,1.195691854
2015-02-15,Bandung,4.540605783
2015-02-16,Bandung,13.15982294
2015-02-17,Bandung,9.919188023
2015-02-18,Bandung,7.40443182
2015-02-19,Bandung,16.4863987
2015-02-20,Bandung,1.020050973
2015-02-21,Bandung,0.6645288616
2015-02-22,Bandung,0
2015-02-23,Bandung,2.307596684
2015-02-24,Bandung,21.09206486
2015-02-25,Bandung,11.07259226
2015-02-26,Bandung,10.44039631
2015-02-27,Bandung,6.271916628
2015-02-28,Bandung,37.85835743
2015-03-01,Bandung,9.538860798
2015-03-02,Bandung,7.177888155
2015-03-03,Bandung,1.251246303
2015-03-04,Bandung,8.210615158
2015-03-05,Bandung,13.95316744
2015-03-06,Bandung,6.71308136
2015-03-07,Bandung,3.729190707
2015-03-08,Bandung,4.883850932
2015-03-09,Bandung,3.335509658
2015-03-10,Bandung,2.214130461
2015-03-11,Bandung,18.20980024
2015-03-12,Bandung,25.24032784
2015-03-13,Bandung,3.221534371
2015-03-14,Bandung,18.82822895
2015-03-15,Bandung,10.75242662
2015-03-16,Bandung,3.103691339
2015-03-17,Bandung,2.352903485
2015-03-18,Bandung,8.322810173
2015-03-19,Bandung,9.701043606
2015-03-20,Bandung,6.953159809
2015-03-21,Bandung,23.7860384
2015-03-22,Bandung,27.77009583
2015-03-23,Bandung,4.342836857
2015-03-24,Bandung,19.76662302
2015-03-25,Bandung,20.23721695
2015-03-26,Bandung,1.916570663
2015-03-27,Bandung,30.61777496
2015-03-28,Bandung,9.794966698
2015-03-29,Bandung,0.1171799116
2015-03-30,Bandung,12.50941801
2015-03-31,Bandung,10.75241303
2015-04-01,Bandung,17.36362696
2015-04-02,Bandung,6.945028067
2015-04-03,Bandung,12.08036327
2015-04-04,Bandung,35.89531231
2015-04-05,Bandung,3.828943133
2015-04-06,Bandung,1.461819112
2015-04-07,Bandung,5.617156148
2015-04-08,Bandung,6.850936174
2015-04-09,Bandung,4.268402338
2015-04-10,Bandung,8.252079964
2015-04-11,Bandung,4.42320621
2015-04-12,Bandung,7.299444437
2015-04-13,Bandung,7.280367136
2015-04-14,Bandung,22.71211052
2015-04-15,Bandung,18.97109556
2015-04-16,Bandung,30.71142769
2015-04-17,Bandung,0.02268646471
2015-04-18,Bandung,5.459420085
2015-04-19,Bandung,5.179189324
2015-04-20,Bandung,19.82862568
2015-04-21,Bandung,29.53764439
2015-04-22,Bandung,13.47808313
2015-04-23,Bandung,4.203036904
2015-04-24,Bandung,4.856202364
2015-04-25,Bandung,2.620283246
2015-04-26,Bandung,3.222808599
2015-04-27,Bandung,9.562007189
2015-04-28,Bandung,1.103108972
2015-04-29,Bandung,1.171094745
2015-04-30,Bandung,6.603275299
2015-05-01,Bandung,24.56521511
2015-05-02,Bandung,24.42218685
2015-05-03,Bandung,30.62113953
2015-05-04,Bandung,9.82583499
2015-05-05,Bandung,18.15284586
2015-05-06,Bandung,45.17912292
2015-05-07,Bandung,0.2242026553
2015-05-08,Bandung,0
2015-05-09,Bandung,0.002469530969
2015-05-10,Bandung,0
2015-05-11,Bandung,0
2015-05-12,Bandung,0
2015-05-13,Bandung,3.250784397
2015-05-14,Bandung,1.861537099
2015-05-15,Bandung,1.108497262
2015-05-16,Bandung,0
2015-05-17,Bandung,0
2015-05-18,Bandung,0
2015-05-19,Bandung,0.00605566171
2015-05-20,Bandung,0
2015-05-21,Bandung,0
2015-05-22,Bandung,0
2015-05-23,Bandung,0
2015-05-24,Bandung,0
2015-05-25,Bandung,0
2015-05-26,Bandung,0.08693050593
2015-05-27,Bandung,0.4165952504
2015-05-28,Bandung,0
2015-05-29,Bandung,10.80097175
2015-05-30,Bandung,0.1892284155
2015-05-31,Bandung,0
2015-06-01,Bandung,16.45048714
2015-06-02,Bandung,30.55890083
2015-06-03,Bandung,0
2015-06-04,Bandung,0.9418377578
2015-06-05,Bandung,0
2015-06-06,Bandung,0.05894608609
2015-06-07,Bandung,0.8558958471
2015-06-08,Bandung,0.9420938194
2015-06-09,Bandung,3.158643007
2015-06-10,Bandung,1.821029842
2015-06-11,Bandung,1.548925996
2015-06-12,Bandung,0
2015-06-13,Bandung,0
2015-06-14,Bandung,0
2015-06-15,Bandung,0
2015-06-16,Bandung,0
2015-06-17,Bandung,0
2015-06-18,Bandung,0
2015-06-19,Bandung,0.001544343133
2015-06-20,Bandung,0
2015-06-21,Bandung,0
2015-06-22,Bandung,0
2015-06-23,Bandung,0
2015-06-24,Bandung,0
2015-06-25,Bandung,0
2015-06-26,Bandung,0
2015-06-27,Bandung,0
2015-06-28,Bandung,0
2015-06-29,Bandung,0
2015-06-30,Bandung,0
2015-07-01,Bandung,0
2015-07-02,Bandung,0
2015-07-03,Bandung,0
2015-07-04,Bandung,0
2015-07-05,Bandung,0
2015-07-06,Bandung,0
2015-07-07,Bandung,0
2015-07-08,Bandung,0
2015-07-09,Bandung,0
2015-07-10,Bandung,3.422306657
2015-07-11,Bandung,0
2015-07-12,Bandung,0.9385549128
2015-07-13,Bandung,0
2015-07-14,Bandung,1.254324228
2015-07-15,Bandung,0
2015-07-16,Bandung,0
2015-07-17,Bandung,0
2015-07-18,Bandung,0
2015-07-19,Bandung,0
2015-07-20,Bandung,1.218341857
2015-07-21,Bandung,0
2015-07-22,Bandung,0
2015-07-23,Bandung,0
2015-07-24,Bandung,0
2015-07-25,Bandung,0
2015-07-26,Bandung,0
2015-07-27,Bandung,0
2015-07-28,Bandung,2.696944535
2015-07-29,Bandung,0
2015-07-30,Bandung,0
2015-07-31,Bandung,26.80830002
2015-08-01,Bandung,0
2015-08-02,Bandung,0
2015-08-03,Bandung,0
2015-08-04,Bandung,0
2015-08-05,Bandung,0
2015-08-06,Bandung,0
2015-08-07,Bandung,0
2015-08-08,Bandung,3.234500527
2015-08-09,Bandung,0.02040254697
2015-08-10,Bandung,0
2015-08-11,Bandung,0
2015-08-12,Bandung,41.24694729
