date,Kabupaten,NDVI_8Day_Mean
2014-03-81,Cirebon,0.6438415782301709
2014-03-81,Garut,0.6603937683684877
2014-03-81,Indramayu,0.5913943194216982
2014-03-81,Karawang,0.4910993461474773
2014-03-81,Kota Bandung,0.32849030784310385
2014-03-81,Kota Bogor,0.4718611789782779
2014-03-81,Kota Cirebon,0.4907540700918095
2014-03-81,Kota Sukabumi,0.5625970352241795
2014-03-81,Kuningan,0.6916852180644119
2014-03-81,Majalengka,0.5932437531963922
2014-03-81,Purwakarta,0.6362106575803469
2014-03-81,Subang,0.6091390469414446
2014-03-81,Sukabumi,0.693885842891808
2014-03-81,Sumedang,0.6719215958699748
2014-03-81,Kota Bekasi,0.3838231243335478
2014-03-81,Kota Depok,0.5226046794007189
2014-03-89,Bandung,0.557820813700433
2014-03-89,Kota Cimahi,0.3237953203578353
2014-03-89,Kota Tasikmalaya,0.5517591470066945
2014-03-89,Tasikmalaya,0.5787496009268775
2014-03-89,Ciamis,0.633571801201834
2014-03-89,Kota Banjar,0.5570247897595003
2014-03-89,Bekasi,0.4489034660766625
2014-03-89,Bogor,0.6361353929318476
2014-03-89,Cianjur,0.642491187689812
2014-03-89,Cirebon,0.6027430319044937
2014-03-89,Garut,0.5934613240591814
2014-03-89,Indramayu,0.5511252518877716
2014-03-89,Karawang,0.5038472244396851
2014-03-89,Kota Bandung,0.3817506965701377
2014-03-89,Kota Bogor,0.47977123649931286
2014-03-89,Kota Cirebon,0.4720249148214071
2014-03-89,Kota Sukabumi,0.5631713527920688
2014-03-89,Kuningan,0.7339104166762964
2014-03-89,Majalengka,0.5696981864111895
2014-03-89,Purwakarta,0.6168590531912403
2014-03-89,Subang,0.6198015512535956
2014-03-89,Sukabumi,0.6305424568105317
2014-03-89,Sumedang,0.6885484141441803
2014-03-89,Kota Bekasi,0.37327260826898506
2014-03-89,Kota Depok,0.5061702359961471
2014-04-97,Bandung,0.6555428916191581
2014-04-97,Kota Cimahi,0.3680746145633343
2014-04-97,Kota Tasikmalaya,0.6279623403741196
2014-04-97,Tasikmalaya,0.7146659898464967
2014-04-97,Ciamis,0.6947740670177077
2014-04-97,Kota Banjar,0.679865018562552
2014-04-97,Bekasi,0.41980245936784616
2014-04-97,Bogor,0.6739562656285835
2014-04-97,Cianjur,0.6763310745666735
2014-04-97,Cirebon,0.5905914326818512
2014-04-97,Garut,0.6732432813922057
2014-04-97,Indramayu,0.539826915484976
2014-04-97,Karawang,0.508577383295787
2014-04-97,Kota Bandung,0.3691367947745135
